Year,Units,Time series,Mode of transport,Value
2010,Mn pkm,a) Passenger transport,,1117240
2011,Mn pkm,a) Passenger transport,,1131004
2012,Mn pkm,a) Passenger transport,,1135558
2013,Mn pkm,a) Passenger transport,,1144212
2014,Mn pkm,a) Passenger transport,,1162858
2015,Mn pkm,a) Passenger transport,,1180505
2016,Mn pkm,a) Passenger transport,,1204690
2010,Mn pkm,a) Passenger transport,Road transport,78092
2011,Mn pkm,a) Passenger transport,Road transport,77957
2012,Mn pkm,a) Passenger transport,Road transport,76019
2013,Mn pkm,a) Passenger transport,Road transport,76885
2014,Mn pkm,a) Passenger transport,Road transport,78786
2015,Mn pkm,a) Passenger transport,Road transport,81771
2016,Mn pkm,a) Passenger transport,Road transport,81094
2010,Mn pkm,a) Passenger transport,Rail transport,83886
2011,Mn pkm,a) Passenger transport,Rail transport,85414
2012,Mn pkm,a) Passenger transport,Rail transport,88796
2013,Mn pkm,a) Passenger transport,Rail transport,89613
2014,Mn pkm,a) Passenger transport,Rail transport,90976
2015,Mn pkm,a) Passenger transport,Rail transport,91709
2016,Mn pkm,a) Passenger transport,Rail transport,94197
2010,Mn pkm,a) Passenger transport,Commercial air transport,52822
2011,Mn pkm,a) Passenger transport,Commercial air transport,55216
2012,Mn pkm,a) Passenger transport,Commercial air transport,56180
2013,Mn pkm,a) Passenger transport,Commercial air transport,56294
2014,Mn pkm,a) Passenger transport,Commercial air transport,58136
2015,Mn pkm,a) Passenger transport,Commercial air transport,61295
2016,Mn pkm,a) Passenger transport,Commercial air transport,63939
2017,Mn pkm,a) Passenger transport,Commercial air transport,67523
2010,Mn pkm,a) Passenger transport,Motorised private transport,902440
2011,Mn pkm,a) Passenger transport,Motorised private transport,912417
2012,Mn pkm,a) Passenger transport,Motorised private transport,914563
2013,Mn pkm,a) Passenger transport,Motorised private transport,921420
2014,Mn pkm,a) Passenger transport,Motorised private transport,934960
2015,Mn pkm,a) Passenger transport,Motorised private transport,945730
2016,Mn pkm,a) Passenger transport,Motorised private transport,965460
2010,Mn tkm,b) Freight transport,,627857
2011,Mn tkm,b) Freight transport,,627966
2012,Mn tkm,b) Freight transport,,618911
2013,Mn tkm,b) Freight transport,,636011
2014,Mn tkm,b) Freight transport,,643567
2015,Mn tkm,b) Freight transport,,651928
2016,Mn tkm,b) Freight transport,,666923
2010,Mn tkm,b) Freight transport,Road transport,440600
2011,Mn tkm,b) Freight transport,Road transport,442635
2012,Mn tkm,b) Freight transport,Road transport,431999
2013,Mn tkm,b) Freight transport,Road transport,443681
2014,Mn tkm,b) Freight transport,Road transport,452939
2015,Mn tkm,b) Freight transport,Road transport,460200
2016,Mn tkm,b) Freight transport,Road transport,464000
2010,Mn tkm,b) Freight transport,Rail transport,107292
2011,Mn tkm,b) Freight transport,Rail transport,113201
2012,Mn tkm,b) Freight transport,Rail transport,110797
2013,Mn tkm,b) Freight transport,Rail transport,112670
2014,Mn tkm,b) Freight transport,Rail transport,112553
2015,Mn tkm,b) Freight transport,Rail transport,117252
2016,Mn tkm,b) Freight transport,Rail transport,128296
2017,Mn tkm,b) Freight transport,Rail transport,129361
2010,Mn tkm,b) Freight transport,Inland waterway transport,62278
2011,Mn tkm,b) Freight transport,Inland waterway transport,55027
2012,Mn tkm,b) Freight transport,Inland waterway transport,58488
2013,Mn tkm,b) Freight transport,Inland waterway transport,60070
2014,Mn tkm,b) Freight transport,Inland waterway transport,59093
2015,Mn tkm,b) Freight transport,Inland waterway transport,55315
2016,Mn tkm,b) Freight transport,Inland waterway transport,54347
2017,Mn tkm,b) Freight transport,Inland waterway transport,55518
2018,Mn tkm,b) Freight transport,Inland waterway transport,46900
2010,Mn tkm,b) Freight transport,Commercial air transport,1428
2011,Mn tkm,b) Freight transport,Commercial air transport,1480
2012,Mn tkm,b) Freight transport,Commercial air transport,1420
2013,Mn tkm,b) Freight transport,Commercial air transport,1410
2014,Mn tkm,b) Freight transport,Commercial air transport,1441
2015,Mn tkm,b) Freight transport,Commercial air transport,1447
2016,Mn tkm,b) Freight transport,Commercial air transport,1519
2017,Mn tkm,b) Freight transport,Commercial air transport,1617
2010,Mn tkm,b) Freight transport,Transport via pipeline: crude oil,16259
2011,Mn tkm,b) Freight transport,Transport via pipeline: crude oil,15623
2012,Mn tkm,b) Freight transport,Transport via pipeline: crude oil,16207
2013,Mn tkm,b) Freight transport,Transport via pipeline: crude oil,18180
2014,Mn tkm,b) Freight transport,Transport via pipeline: crude oil,17541
2015,Mn tkm,b) Freight transport,Transport via pipeline: crude oil,17714
2016,Mn tkm,b) Freight transport,Transport via pipeline: crude oil,18761
2017,Mn tkm,b) Freight transport,Transport via pipeline: crude oil,18239
2018,Mn tkm,b) Freight transport,Transport via pipeline: crude oil,17225
