Year,Treatment,Type of waste water,Value
2010,Wastewater safely treated (total),,100.0
2011,Wastewater safely treated (total),,100.0
2012,Wastewater safely treated (total),,100.0
2013,Wastewater safely treated (total),,100.0
2014,Wastewater safely treated (total),,100.0
2015,Wastewater safely treated (total),,100.0
2016,Wastewater safely treated (total),,100.0
2017,Wastewater safely treated (total),,100.0
2018,Wastewater safely treated (total),,100.0
2010,Untreated wastewater that does not have to undergo treatment,,72.7
2013,Untreated wastewater that does not have to undergo treatment,,65.8
2016,Untreated wastewater that does not have to undergo treatment,,65.4
2010,Untreated wastewater that does not have to undergo treatment,Cooling water,68.3
2013,Untreated wastewater that does not have to undergo treatment,Cooling water,60.3
2016,Untreated wastewater that does not have to undergo treatment,Cooling water,59.7
2010,Untreated wastewater that does not have to undergo treatment,Other wastewater,4.4
2013,Untreated wastewater that does not have to undergo treatment,Other wastewater,5.5
2016,Untreated wastewater that does not have to undergo treatment,Other wastewater,5.7
