Year,Time series,Value
2010,Mobile penetration rate,133.1
2011,Mobile penetration rate,142.1
2012,Mobile penetration rate,140.5
2013,Mobile penetration rate,142.7
2014,Mobile penetration rate,138.7
2015,Mobile penetration rate,138.9
2016,Mobile penetration rate,157.4
2017,Mobile penetration rate,163.1
2018,Mobile penetration rate,165.1
2019,Mobile penetration rate,
2020,Mobile penetration rate,
2010,Private households with at least one mobile phone,88.9
2011,Private households with at least one mobile phone,90.0
2012,Private households with at least one mobile phone,90.3
2013,Private households with at least one mobile phone,92.7
2014,Private households with at least one mobile phone,93.6
2015,Private households with at least one mobile phone,93.5
2016,Private households with at least one mobile phone,95.1
2017,Private households with at least one mobile phone,95.5
2018,Private households with at least one mobile phone,96.7
2019,Private households with at least one mobile phone,97.0
2020,Private households with at least one mobile phone,97.5
