Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,r,,,CO₂ emissions per real GDP,269.0
2011,r,,,CO₂ emissions per real GDP,251.8
2012,r,,,CO₂ emissions per real GDP,253.4
2013,r,,,CO₂ emissions per real GDP,258.5
2014,r,,,CO₂ emissions per real GDP,240.9
2015,r,,,CO₂ emissions per real GDP,238.2
2016,r,,,CO₂ emissions per real GDP,233.5
2017,r,,,CO₂ emissions per real GDP,223.8
2018,r,,,CO₂ emissions per real GDP,212.8
2019,r,,,CO₂ emissions per real GDP,197.3
2020,r,,,CO₂ emissions per real GDP,187.5
2021,r,,,CO₂ emissions per real GDP,189.7
2022,p,,,CO₂ emissions per real GDP,183.6
2023,p,,,CO₂ emissions per real GDP,163.5
2024,p,,,CO₂ emissions per real GDP,159.4
2010,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,315.1
2011,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,286.7
2012,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,286.4
2013,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,285.5
2014,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,269.0
2015,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,277.1
2016,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,271.4
2017,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,270.2
2018,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,256.4
2019,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,253.7
2020,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,268.6
2021,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,259.5
2022,p,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,233.2
2023,p,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,221.1
2024,p,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,231.0
