Year,Time series,Value
2010,"co2 emission (without land use, land-use change and forestry) per real gdp (g/eur (constant 2010))",322.6
2011,"co2 emission (without land use, land-use change and forestry) per real gdp (g/eur (constant 2010))",302.8
2012,"co2 emission (without land use, land-use change and forestry) per real gdp (g/eur (constant 2010))",302.9
2013,"co2 emission (without land use, land-use change and forestry) per real gdp (g/eur (constant 2010))",307.9
2014,"co2 emission (without land use, land-use change and forestry) per real gdp (g/eur (constant 2010))",287.3
2015,"co2 emission (without land use, land-use change and forestry) per real gdp (g/eur (constant 2010))",283.5
2016,"co2 emission (without land use, land-use change and forestry) per real gdp (g/eur (constant 2010))",279.3
2017,"co2 emission (without land use, land-use change and forestry) per real gdp (g/eur (constant 2010))",272.1
2010,CO2 emissions per gross value added (price adjusted) in manufacturing industries,366.1
2011,CO2 emissions per gross value added (price adjusted) in manufacturing industries,342.7
2012,CO2 emissions per gross value added (price adjusted) in manufacturing industries,334.6
2013,CO2 emissions per gross value added (price adjusted) in manufacturing industries,334.2
2014,CO2 emissions per gross value added (price adjusted) in manufacturing industries,319.7
2015,CO2 emissions per gross value added (price adjusted) in manufacturing industries,310.8
2016,CO2 emissions per gross value added (price adjusted) in manufacturing industries,296.8
