Year,Time series,Value
2010,"CO<sub>2</sub>-emission (without land use, land-use change and forestry) per real GDP",322.6
2011,"CO<sub>2</sub>-emission (without land use, land-use change and forestry) per real GDP",302.8
2012,"CO<sub>2</sub>-emission (without land use, land-use change and forestry) per real GDP",302.9
2013,"CO<sub>2</sub>-emission (without land use, land-use change and forestry) per real GDP",307.9
2014,"CO<sub>2</sub>-emission (without land use, land-use change and forestry) per real GDP",287.3
2015,"CO<sub>2</sub>-emission (without land use, land-use change and forestry) per real GDP",283.5
2016,"CO<sub>2</sub>-emission (without land use, land-use change and forestry) per real GDP",279.3
2017,"CO<sub>2</sub>-emission (without land use, land-use change and forestry) per real GDP",272.1
2010,CO<sub>2</sub>-emissions per gross value added (price adjusted) in manufacturing industries,366.1
2011,CO<sub>2</sub>-emissions per gross value added (price adjusted) in manufacturing industries,342.7
2012,CO<sub>2</sub>-emissions per gross value added (price adjusted) in manufacturing industries,334.6
2013,CO<sub>2</sub>-emissions per gross value added (price adjusted) in manufacturing industries,334.2
2014,CO<sub>2</sub>-emissions per gross value added (price adjusted) in manufacturing industries,319.7
2015,CO<sub>2</sub>-emissions per gross value added (price adjusted) in manufacturing industries,310.8
2016,CO<sub>2</sub>-emissions per gross value added (price adjusted) in manufacturing industries,296.8
