Year,Units,Fine particulate matter,Series,Value
2010,Micrograms per cubic meters,,Population weighted annual mean levels of PM<sub>10</sub>,19.6
2011,Micrograms per cubic meters,,Population weighted annual mean levels of PM<sub>10</sub>,19.5
2012,Micrograms per cubic meters,,Population weighted annual mean levels of PM<sub>10</sub>,17.0
2013,Micrograms per cubic meters,,Population weighted annual mean levels of PM<sub>10</sub>,17.6
2014,Micrograms per cubic meters,,Population weighted annual mean levels of PM<sub>10</sub>,17.1
2015,Micrograms per cubic meters,,Population weighted annual mean levels of PM<sub>10</sub>,15.9
2016,Micrograms per cubic meters,,Population weighted annual mean levels of PM<sub>10</sub>,15.4
2017,Micrograms per cubic meters,,Population weighted annual mean levels of PM<sub>10</sub>,15.3
2018,Micrograms per cubic meters,,Population weighted annual mean levels of PM<sub>10</sub>,
2010,Million inhabitants,PM2.5,Population with excessive exposure to fine particulate matter,76.9
2011,Million inhabitants,PM2.5,Population with excessive exposure to fine particulate matter,75.8
2012,Million inhabitants,PM2.5,Population with excessive exposure to fine particulate matter,64.9
2013,Million inhabitants,PM2.5,Population with excessive exposure to fine particulate matter,71.5
2014,Million inhabitants,PM2.5,Population with excessive exposure to fine particulate matter,65.0
2015,Million inhabitants,PM2.5,Population with excessive exposure to fine particulate matter,59.3
2016,Million inhabitants,PM2.5,Population with excessive exposure to fine particulate matter,55.1
2017,Million inhabitants,PM2.5,Population with excessive exposure to fine particulate matter,54.0
2018,Million inhabitants,PM2.5,Population with excessive exposure to fine particulate matter,53.9
2010,Million inhabitants,PM10,Population with excessive exposure to fine particulate matter,34.61
2011,Million inhabitants,PM10,Population with excessive exposure to fine particulate matter,36.37
2012,Million inhabitants,PM10,Population with excessive exposure to fine particulate matter,12.51
2013,Million inhabitants,PM10,Population with excessive exposure to fine particulate matter,17.18
2014,Million inhabitants,PM10,Population with excessive exposure to fine particulate matter,11.9
2015,Million inhabitants,PM10,Population with excessive exposure to fine particulate matter,4.99
2016,Million inhabitants,PM10,Population with excessive exposure to fine particulate matter,3.84
2017,Million inhabitants,PM10,Population with excessive exposure to fine particulate matter,2.54
2018,Million inhabitants,PM10,Population with excessive exposure to fine particulate matter,2.9
