Year,Time series,Value
2011,Population covered by health insurance,99.8
2015,Population covered by health insurance,99.9
2010,Unemployed persons with unemployment benefits,95.5
2011,Unemployed persons with unemployment benefits,94.7
2012,Unemployed persons with unemployment benefits,95.0
2013,Unemployed persons with unemployment benefits,95.3
2014,Unemployed persons with unemployment benefits,95.3
2015,Unemployed persons with unemployment benefits,95.8
2016,Unemployed persons with unemployment benefits,95.3
2017,Unemployed persons with unemployment benefits,95.1
2018,Unemployed persons with unemployment benefits,95.7
