Year,Time series,Value
2010,ODA (gross disbursements) for water and sanitation,649.8
2011,ODA (gross disbursements) for water and sanitation,794.7
2012,ODA (gross disbursements) for water and sanitation,653.3
2013,ODA (gross disbursements) for water and sanitation,719.9
2014,ODA (gross disbursements) for water and sanitation,983.7
2015,ODA (gross disbursements) for water and sanitation,844.6
2016,ODA (gross disbursements) for water and sanitation,843.7
2017,ODA (gross disbursements) for water and sanitation,907.1
2018,ODA (gross disbursements) for water and sanitation,1023.3
2019,ODA (gross disbursements) for water and sanitation,896.2
2010,ODA (gross disbursements) for other related water and sanitation purposes,48.6
2011,ODA (gross disbursements) for other related water and sanitation purposes,95.1
2012,ODA (gross disbursements) for other related water and sanitation purposes,59.8
2013,ODA (gross disbursements) for other related water and sanitation purposes,82.9
2014,ODA (gross disbursements) for other related water and sanitation purposes,81.7
2015,ODA (gross disbursements) for other related water and sanitation purposes,97.7
2016,ODA (gross disbursements) for other related water and sanitation purposes,101.1
2017,ODA (gross disbursements) for other related water and sanitation purposes,66.4
2018,ODA (gross disbursements) for other related water and sanitation purposes,67.6
2019,ODA (gross disbursements) for other related water and sanitation purposes,69.5
