Year,Units,Time series,Value
2010,Million EUR,ODA (commitments),0.0
2011,Million EUR,ODA (commitments),0.0
2012,Million EUR,ODA (commitments),0.0
2013,Million EUR,ODA (commitments),0.0
2014,Million EUR,ODA (commitments),0.0
2015,Million EUR,ODA (commitments),0.0
2016,Million EUR,ODA (commitments),9.0
2017,Million EUR,ODA (commitments),0.0
2018,Million EUR,ODA (commitments),0.0
2019,Million EUR,ODA (commitments),3.3
2020,Million EUR,ODA (commitments),26.5
2021,Million EUR,ODA (commitments),25.46
2010,"Million USD, constant prices (2021)",ODA (commitments),0.0
2011,"Million USD, constant prices (2021)",ODA (commitments),0.0
2012,"Million USD, constant prices (2021)",ODA (commitments),0.0
2013,"Million USD, constant prices (2021)",ODA (commitments),0.0
2014,"Million USD, constant prices (2021)",ODA (commitments),0.0
2015,"Million USD, constant prices (2021)",ODA (commitments),0.0
2016,"Million USD, constant prices (2021)",ODA (commitments),11.81
2017,"Million USD, constant prices (2021)",ODA (commitments),0.0
2018,"Million USD, constant prices (2021)",ODA (commitments),0.0
2019,"Million USD, constant prices (2021)",ODA (commitments),4.09
2020,"Million USD, constant prices (2021)",ODA (commitments),32.3
2021,"Million USD, constant prices (2021)",ODA (commitments),30.11
2010,Million EUR,ODA (gross disbursements),0.0
2011,Million EUR,ODA (gross disbursements),0.0
2012,Million EUR,ODA (gross disbursements),0.0
2013,Million EUR,ODA (gross disbursements),0.0
2014,Million EUR,ODA (gross disbursements),0.0
2015,Million EUR,ODA (gross disbursements),0.0
2016,Million EUR,ODA (gross disbursements),9.0
2017,Million EUR,ODA (gross disbursements),0.0
2018,Million EUR,ODA (gross disbursements),0.0
2019,Million EUR,ODA (gross disbursements),0.03
2020,Million EUR,ODA (gross disbursements),24.75
2021,Million EUR,ODA (gross disbursements),25.0
2010,"Million USD, constant prices (2021)",ODA (gross disbursements),0.0
2011,"Million USD, constant prices (2021)",ODA (gross disbursements),0.0
2012,"Million USD, constant prices (2021)",ODA (gross disbursements),0.0
2013,"Million USD, constant prices (2021)",ODA (gross disbursements),0.0
2014,"Million USD, constant prices (2021)",ODA (gross disbursements),0.0
2015,"Million USD, constant prices (2021)",ODA (gross disbursements),0.0
2016,"Million USD, constant prices (2021)",ODA (gross disbursements),11.81
2017,"Million USD, constant prices (2021)",ODA (gross disbursements),0.0
2018,"Million USD, constant prices (2021)",ODA (gross disbursements),0.0
2019,"Million USD, constant prices (2021)",ODA (gross disbursements),0.04
2020,"Million USD, constant prices (2021)",ODA (gross disbursements),30.16
2021,"Million USD, constant prices (2021)",ODA (gross disbursements),29.56
