Year,Units,time series,Value
2010,million eur,commitments (oda and oof),916.0
2011,million eur,commitments (oda and oof),809.2
2012,million eur,commitments (oda and oof),740.5
2013,million eur,commitments (oda and oof),835.9
2014,million eur,commitments (oda and oof),1115.5
2015,million eur,commitments (oda and oof),1578.0
2016,million eur,commitments (oda and oof),1278.4
2017,million eur,commitments (oda and oof),2141.1
2018,million eur,commitments (oda and oof),2107.3
2019,million eur,commitments (oda and oof),2029.1
2020,million eur,commitments (oda and oof),3225.6
2021,million eur,commitments (oda and oof),2941.9
2022,million eur,commitments (oda and oof),2972.9
2010,million eur,gross disbursements (oda and oof),675.0
2011,million eur,gross disbursements (oda and oof),703.8
2012,million eur,gross disbursements (oda and oof),743.5
2013,million eur,gross disbursements (oda and oof),819.9
2014,million eur,gross disbursements (oda and oof),929.0
2015,million eur,gross disbursements (oda and oof),1302.0
2016,million eur,gross disbursements (oda and oof),1210.4
2017,million eur,gross disbursements (oda and oof),1536.8
2018,million eur,gross disbursements (oda and oof),2150.9
2019,million eur,gross disbursements (oda and oof),1727.2
2020,million eur,gross disbursements (oda and oof),2395.3
2021,million eur,gross disbursements (oda and oof),2415.8
2022,million eur,gross disbursements (oda and oof),2801.3
2010,"million usd, constant prices (2021)",commitments (oda and oof),1321.7
2011,"million usd, constant prices (2021)",commitments (oda and oof),1155.1
2012,"million usd, constant prices (2021)",commitments (oda and oof),1041.6
2013,"million usd, constant prices (2021)",commitments (oda and oof),1153.1
2014,"million usd, constant prices (2021)",commitments (oda and oof),1510.4
2015,"million usd, constant prices (2021)",commitments (oda and oof),2097.9
2016,"million usd, constant prices (2021)",commitments (oda and oof),1677.3
2017,"million usd, constant prices (2021)",commitments (oda and oof),2767.4
2018,"million usd, constant prices (2021)",commitments (oda and oof),2670.2
2019,"million usd, constant prices (2021)",commitments (oda and oof),2517.6
2020,"million usd, constant prices (2021)",commitments (oda and oof),3931.2
2021,"million usd, constant prices (2021)",commitments (oda and oof),3479.0
2022,"million usd, constant prices (2021)",commitments (oda and oof),3326.3
2010,"million usd, constant prices (2021)",gross disbursements (oda and oof),973.9
2011,"million usd, constant prices (2021)",gross disbursements (oda and oof),1004.7
2012,"million usd, constant prices (2021)",gross disbursements (oda and oof),1045.7
2013,"million usd, constant prices (2021)",gross disbursements (oda and oof),1131.0
2014,"million usd, constant prices (2021)",gross disbursements (oda and oof),1258.0
2015,"million usd, constant prices (2021)",gross disbursements (oda and oof),1730.9
2016,"million usd, constant prices (2021)",gross disbursements (oda and oof),1588.0
2017,"million usd, constant prices (2021)",gross disbursements (oda and oof),1986.3
2018,"million usd, constant prices (2021)",gross disbursements (oda and oof),2725.4
2019,"million usd, constant prices (2021)",gross disbursements (oda and oof),2143.0
2020,"million usd, constant prices (2021)",gross disbursements (oda and oof),2919.2
2021,"million usd, constant prices (2021)",gross disbursements (oda and oof),2856.9
2022,"million usd, constant prices (2021)",gross disbursements (oda and oof),3134.3
